Id,Label,timeset,mode,act_type,nat,colour,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Popolari per l'Italia,,,1,Popolari per l'Italia,ITALY,"#B85D6F",1,2,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Mayor of Rosignano,,,1,Mayor of Rosignano,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Corte Suprema di Cassazione,,,1,Corte Suprema di Cassazione,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Mayor of Milan,,,1,Mayor of Milan,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Piu Europa,,,1,Piu Europa,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Confcommercio,,,1,Confcommercio,ITALY,"#B85D6F",1,2,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
European People's Party,,,1,European People's Party,EUROPEAN UNION,"#5C9A5C",1,2,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Presidente della repubblica,,,1,Presidente della repubblica,ITALY,"#B85D6F",2,5,4,0.456446,0.480916,189.1,0.020859,0.14998,3,0.005477,0,0,0,0.187342
Italian vox pop,,,1,Italian vox pop,ITALY,"#B85D6F",2,4,4,0.456446,0.480916,189.1,0.020859,0.14998,4,0.005477,0,0,0,0.187342
Ministero Finanza Italia,,,1,Ministero Finanza Italia,ITALY,"#B85D6F",1,3,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Ministry of Finance of Austria,,,1,Ministry of Finance of Austria,AUSTRIA,"#944863",1,2,2,0.666667,0.75,0,0,0,2,0.004969,2,0,0,0.002001
Yuste Foundation,,,1,Yuste Foundation,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Forum Nazionale del Terzo Settore,,,1,Forum Nazionale del Terzo Settore,ITALY,"#B85D6F",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Fratelli d'Italia,,,1,Fratelli d'Italia,ITALY,"#B85D6F",1,5,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Corriere della Sera,,,1,Corriere della Sera,ITALY,"#B85D6F",2,14,4,0.456446,0.480916,189.1,0.020859,0.14998,3,0.005477,0,0,0,0.187342
Ministero delle Finanze,,,1,Ministero delle Finanze,ITALY,"#B85D6F",1,2,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Confcooperative,,,1,Confcooperative,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Banca d'Italia,,,1,Banca d'Italia,ITALY,"#B85D6F",1,2,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
ABI,,,1,ABI,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Bohmermann Jan,,,1,Bohmermann Jan,GERMANY,"#717F75",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Ferrera Maurizio,,,1,Ferrera Maurizio,ITALY,"#B85D6F",1,2,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Politecnico Milano University,,,1,Politecnico Milano University,ITALY,"#B85D6F",1,3,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Sozialdemokratische Partei Deutschlands,,,1,Sozialdemokratische Partei Deutschlands,GERMANY,"#717F75",1,1,8,0.208267,0.224882,0,0.000165,0.001185,6,0.003809,0,0,0,0.003438
Tor Vergata University,,,1,Tor Vergata University,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Busco Paolo,,,1,Busco Paolo,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Ministero dell'agricoltura,,,1,Ministero dell'agricoltura,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Progressive Alliance of Socialists and Democrats,,,1,Progressive Alliance of Socialists and Democrats,EUROPEAN UNION,"#5C9A5C",1,1,6,0.318735,0.36285,0,0.007832,0.056317,3,0.003199,0,0,0,0.078667
Sapelli Giulio,,,1,Sapelli Giulio,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
Open Arms,,,1,Open Arms,SPAIN,"#AF6729",1,1,6,0.259406,0.273155,0,0.0004,0.002873,5,0.003418,0,0,0,0.008927
Mayor of Bergamo,,,1,Mayor of Bergamo,ITALY,"#B85D6F",1,1,6,0.345646,0.393384,0,0.013026,0.093663,4,0.003245,0,0,0,0.108674
